Date,Open,High,Low,Close,Adj Close,Volume
2020-09-16,35.370018,35.398483,34.838711,34.895638,32.722164,22208412
2020-09-17,34.895638,35.075901,34.677418,34.933586,32.757755,17894390
2020-09-18,34.895638,35.170776,34.696396,34.753323,32.588722,31694623
2020-09-21,34.506641,34.611008,33.567364,34.174572,32.046013,26608968
2020-09-22,33.975330,34.468693,33.908916,34.392788,32.250637,22727297
2020-09-23,34.478176,34.516129,34.127136,34.155598,32.028221,23102521
2020-09-24,34.108158,34.193546,33.719166,33.927895,31.814703,20859925
2020-09-25,33.719166,34.297913,33.700191,34.203037,32.072708,14365598
2020-09-28,34.307400,34.705883,34.307400,34.525616,32.375195,15044269
2020-09-29,34.563568,34.667931,34.184059,34.316887,32.179466,13512491
2020-09-30,34.411766,35.066414,34.392788,34.819733,32.650990,22629275
2020-10-01,35.018974,35.189754,34.307400,34.506641,32.357399,22520396
2020-10-02,34.212524,34.781784,34.184059,34.516129,32.366299,21461759
2020-10-05,34.658443,34.990513,34.478176,34.867172,32.695473,19400029
2020-10-06,35.104362,35.132828,34.240986,34.316887,32.179466,25233392
2020-10-07,34.402279,34.715370,34.184059,34.601517,32.446365,22160034
2020-10-08,34.724857,35.275143,34.639469,35.000000,32.820030,17857395
2020-10-09,34.943073,35.218216,34.715370,34.905125,32.731064,23667465
2020-10-12,34.819733,35.275143,34.601517,34.933586,32.757755,19413837
2020-10-13,34.791271,35.227703,34.753323,35.009487,32.828926,21543233
2020-10-14,35.113853,35.388992,34.696396,34.971539,32.793343,22120298
2020-10-15,34.753323,34.857685,34.544594,34.677418,32.517544,16089205
2020-10-16,35.170776,36.166985,35.123341,36.005692,33.763084,42993503
2020-10-19,36.451614,36.859585,35.711575,35.863377,33.629635,31931352
2020-10-20,35.929790,35.948769,35.436432,35.569260,33.353828,22384852
2020-10-21,35.436432,35.531307,35.161289,35.180267,32.989071,18984859
2020-10-22,35.180267,35.645161,35.132828,35.512333,33.300453,19243616
2020-10-23,35.986717,36.318787,35.721062,36.223907,33.967709,30557884
2020-10-26,35.929790,36.072105,35.559772,35.977230,33.736397,33783124
2020-10-27,35.142315,36.166985,34.981026,35.512333,33.300453,36851529
2020-10-28,34.914612,35.227703,33.510437,33.633778,31.538904,33857537
2020-10-29,33.662239,33.814041,32.827324,33.472485,31.387657,27545341
2020-10-30,33.434536,33.709679,33.055027,33.662239,31.565588,25631067
2020-11-02,34.089184,34.392788,33.719166,34.373814,32.232845,21430666
2020-11-03,34.563568,34.743832,34.231499,34.335861,32.197258,21636617
2020-11-04,35.161289,36.166985,35.066414,35.417458,33.211487,40870536
2020-11-05,35.341557,35.388992,34.525616,34.525616,32.708145,33926995
2020-11-06,34.525616,34.838711,34.240986,34.535103,32.717133,23870676
2020-11-09,39.715370,39.838711,36.413662,37.191650,35.233833,230153864
2020-11-10,38.377609,38.462997,36.489563,36.698292,34.766449,80091668
2020-11-11,36.888046,38.140415,35.958256,36.527515,34.604664,58980997
2020-11-12,36.318787,36.375713,35.332069,35.626186,33.750782,46767877
2020-11-13,35.929790,36.679317,35.777988,36.641365,34.712517,40175634
2020-11-16,35.920303,36.005692,34.962048,35.417458,33.553040,75530167
2020-11-17,36.490002,36.500000,35.820000,36.040001,34.142811,46984500
2020-11-18,36.930000,37.419998,36.299999,36.320000,34.408066,63442700
2020-11-19,36.599998,36.630001,35.860001,36.189999,34.284912,43261800
2020-11-20,36.700001,37.310001,36.439999,36.700001,34.768066,60633800
2020-11-23,37.029999,37.090000,36.209999,36.520000,34.597546,43673100
2020-11-24,36.130001,36.740002,36.020000,36.599998,34.673328,42485300
2020-11-25,36.529999,36.560001,36.240002,36.529999,34.607018,26955800
2020-11-27,36.779999,37.259998,36.750000,37.230000,35.270164,25277000
2020-11-30,37.950001,38.799999,37.599998,38.310001,36.293316,65425900
2020-12-01,39.400002,40.500000,39.009998,39.410000,37.335407,72499700
2020-12-02,40.470001,41.410000,40.299999,40.799999,38.652237,84347500
2020-12-03,40.980000,41.029999,39.520000,40.090000,37.979610,68570100
2020-12-04,39.889999,40.450001,39.889999,40.340000,38.216454,35368100
2020-12-07,40.660000,41.400002,40.369999,41.250000,39.078548,48253700
2020-12-08,41.400002,42.770000,41.349998,42.560001,40.319592,87039300
